Family	!	Scientific Name	Author	Reference	Date
"Rubiaceae"	""	"Psychotria fruticetorum"	"Standl."	"J. Arnold Arbor. 11(1): 42"	"1930"
"Rubiaceae"	""	"Psychotria galeottiana"	"(M. Martens) C.M. Taylor & Lorence"	"Taxon 34(4): 669"	"1985"
"Rubiaceae"	"!"	"Psychotria horizontalis"	"Sw."	"Prodr. 44"	"1788"
"Rubiaceae"	"!"	"Psychotria jinotegensis"	"C. Nelson, Ant. Molina & Standl."	"Phytologia 50: 1"	"1981"
"Rubiaceae"	""	"Psychotria limonensis"	"K. Krause"	"Bot. Jahrb. Syst. 54(3, Beibl. 119): 43–44"	"1916"
"Rubiaceae"	""	"Psychotria lundellii"	"Standl."	"Contr. Univ. Michigan Herb. 4: 29"	"1940"
"Rubiaceae"	""	"Psychotria minarum"	"Standl. & Steyerm."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 23(5): 253"	"1947"
"Rubiaceae"	""	"Psychotria panamensis"	"Standl."	"Contr. U.S. Natl. Herb. 18(3): 132"	"1916"
"Rubiaceae"	"!"	"Psychotria pubescens"	"Sw."	"Prodr. 44"	"1788"
"Rubiaceae"	""	"Psychotria quinqueradiata"	"Pol."	"Linnaea 41(5–6): 570"	"1877"
"Rubiaceae"	""	"Psychotria subsessilis"	"Benth."	"Vidensk. Meddel. Dansk Naturhist. Foren. Kjøbenhavn 1852(2–4): 32–33"	"1853 [1852]"
"Rubiaceae"	""	"Psychotria tenuifolia"	"Sw."	"Prodr. 43"	"1788"
"Rubiaceae"	"!"	"Psychotria trichotoma"	"M. Martens & Galeotti"	"Bull. Acad. Roy. Sci. Bruxelles 11(1): 227–228"	"1844"
"Dennstaedtiaceae"	"!!"	"Pteridium"	"Gled. ex Scop."	"Fl. Carniol. 169–170"	"1760"
"Dennstaedtiaceae"	""	"Pteridium aquilinum"	"(L.) Kuhn"	"Bot. Ost-Afrika 3(3): 11"	"1879"
"Dennstaedtiaceae"	""	"Pteridium caudatum"	"(L.) Maxon"	"Proc. U.S. Natl. Mus. 23(1226): 631"	"1901"
"Dennstaedtiaceae"	""	"Pteridium feei"	"(W. Schaffn. ex Fée) Faull"	"Contr. Arnold Arbor. 11: 87"	"1938"
"Pteridaceae"	"!"	"Pteris"	"L."	"Sp. Pl. 2: 1073"	"1753"
"Pteridaceae"	""	"Pteris altissima"	"Poir."	"Encycl. 5: 722"	"1804"
"Pteridaceae"	"!"	"Pteris biaurita"	"L."	"Sp. Pl. 2: 1076"	"1753"
"Pteridaceae"	"!"	"Pteris grandifolia"	"L."	"Sp. Pl. 2: 1073–1074"	"1753"
"Pteridaceae"	""	"Pteris muricella"	"Fée"	"Mém. Soc. Sci. Nat. Strasbourg 5(1): 73"	"1857"
"Pteridaceae"	""	"Pteris orizabae"	"M. Martens & Galeotti"	"Nouv. Mém. Acad. Roy. Sci. Bruxelles 15: 52–53, t. 13"	"1842"
"Pteridaceae"	""	"Pteris paucinervata"	"Fée"	"Mém. Soc. Sci. Nat. Strasbourg 5(1): 73"	"1857"
"Pteridaceae"	""	"Pteris podophylla"	"Sw."	"J. Bot. (Schrader) 1800(2): 67"	"1801"
"Pteridaceae"	""	"Pteris polita"	"Link"	"Hort. Berol. 2: 30"	"1833"
"Pteridaceae"	"!"	"Pteris quadriaurita"	"Retz."	"Observ. Bot. 6: 38–39"	"1791"
"Fabaceae"	"!"	"Pterocarpus"	"Jacq."	"Select. Stirp. Amer. Hist. 283"	"1763"
"Fabaceae"	""	"Pterocarpus michelianus"	"N. Zamora"	"Novon 10(2): 177–179, f. 2"	"2000"
"Fabaceae"	"!"	"Pterocarpus rohrii"	"Vahl"	"Symb. Bot. 2: 79–80"	"1791"
"Orchidaceae"	""	"Pteroglossa"	"Schltr."	"Beih. Bot. Centralbl., Abt. 2 37(3): 450"	"1920"
"Melastomataceae"	""	"Pterolepis trichotoma"	"(Rottb.) Cogn."	"Fl. Bras. 14(3): 261"	"1885"
"Bignoniaceae"	""	"Pyrostegia venusta"	"(Ker Gawl.) Miers"	"Proc. Roy. Hort. Soc. London 3: 188"	"1863"
"Capparaceae"	""	"Quadrella indica"	"(L.) Iltis & Cornejo"	"J. Bot. Res. Inst. Texas 4(1): 126–127"	"2010"
"Capparaceae"	""	"Quadrella odoratissima"	"(Jacq.) Hutch."	"Gen. Fl. Pl. 2: 308"	"1967"
"Capparaceae"	""	"Quadrella pringlei"	"(Briq.) Iltis & Cornejo"	"J. Bot. Res. Inst. Texas 4(1): 127–128"	"2010"
"Malvaceae"	"!"	"Quararibea funebris"	"(La Llave) Vischer"	"Bull. Soc. Bot. Genève 11: 205"	"1919 [1920]"
"Simaroubaceae"	""	"Quassia amara"	"L."	"Sp. Pl. (ed. 2) 1: 553"	"1762"
"Fagaceae"	""	"Quercus"	"L."	"Sp. Pl. 2: 994"	"1753"
"Fagaceae"	""	"Quercus benthamii"	"A. DC."	"Prodr. 16(2): 29"	"1864"
"Fagaceae"	""	"Quercus bumelioides"	"Liebm."	"Overs. Kongel. Danske Vidensk. Selsk. Forh. Medlemmers Arbeider 1854: 188"	"1854"
"Fagaceae"	""	"Quercus corrugata"	"Hook."	"Icon. Pl. 5: pl. 403–404"	"1842"
"Fagaceae"	""	"Quercus cortesii"	"Liebm."	"Overs. Kongel. Danske Vidensk. Selsk. Forh. Medlemmers Arbeider 1854: 175"	"1854"
