Family	!	Scientific Name	Author	Reference	Date
"Sapotaceae"	""	"Sideroxylon eucuneifolium"	"(Lundell) T.D. Penn."	"Fl. Neotrop. Monogr. 52: 171"	"1990"
"Sapotaceae"	""	"Sideroxylon floribundum"	"Griseb."	"Fl. Brit. W. I. 399–400"	"1864 [1861]"
"Sapotaceae"	""	"Sideroxylon foetidissimum"	"Jacq."	"Enum. Syst. Pl. 15"	"1760"
"Sapotaceae"	""	"Sideroxylon hirtiantherum"	"T.D. Penn."	"Fl. Neotrop. Monogr. 52: 153"	"1990"
"Sapotaceae"	""	"Sideroxylon ibarrae"	"(Lundell) T.D. Penn."	"Fl. Neotrop. Monogr. 52: 133"	"1990"
"Sapotaceae"	""	"Sideroxylon obtusifolium"	"(Humb. ex Roem. & Schult.) T.D. Penn."	"Fl. Neotrop. Monogr. 52: 113"	"1990"
"Sapotaceae"	""	"Sideroxylon persimile"	"(Hemsl.) T.D. Penn."	"Fl. Neotrop. Monogr. 52: 100"	"1990"
"Sapotaceae"	""	"Sideroxylon portoricense"	"Urb."	"Symb. Antill. 5: 134"	"1904"
"Sapotaceae"	"!"	"Sideroxylon salicifolium"	"(L.) Lam."	"Tabl. Encycl. 2(2): 42"	"1794"
"Sapotaceae"	""	"Sideroxylon stenospermum"	"(Standl.) T.D. Penn."	"Fl. Neotrop. Monogr. 52: 109"	"1990"
"Sapotaceae"	"!"	"Sideroxylon stevensonii"	"(Standl.) Standl. & Steyerm."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 23(2): 68"	"1944"
"Orchidaceae"	""	"Sievekingia"	"Rchb. f."	"Beitr. Syst. Pflanzenk. 3"	"1871"
"Asteraceae"	"!"	"Sigesbeckia"	"L."	"Sp. Pl. 2: 900"	"1753"
"Asteraceae"	"!"	"Sigesbeckia agrestis"	"Poepp."	"Nov. Gen. Sp. Pl. 3(5–6): 45, t. 256"	"1845 [1843]"
"Asteraceae"	""	"Sigesbeckia jorullensis"	"Kunth"	"Nov. Gen. Sp. (folio ed.) 4: 223"	"1820 [1818]"
"Asteraceae"	""	"Sigesbeckia nudicaulis"	"Standl. & Steyerm."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 23(5): 262"	"1947"
"Simaroubaceae"	""	"Simarouba amara"	"Aubl."	"Hist. Pl. Guiane 2: 860–861, pl. 331–332"	"1775"
"Simaroubaceae"	""	"Simarouba glauca"	"DC."	"Ann. Mus. Natl. Hist. Nat. 17: 424"	"1811"
"Rubiaceae"	"!"	"Simira"	"Aubl."	"Hist. Pl. Guiane 1: 170, t. 65"	"1775"
"Rubiaceae"	""	"Simira rhodoclada"	"(Standl.) Steyerm."	"Mem. New York Bot. Gard. 23: 307"	"1972"
"Rubiaceae"	"!"	"Simira salvadorensis"	"(Standl.) Steyerm."	"Mem. New York Bot. Gard. 23: 307"	"1972"
"Asteraceae"	"!"	"Simsia"	"Pers."	"Syn. Pl. 2: 478"	"1807"
"Asteraceae"	""	"Simsia amplexicaulis"	"(Cav.) Pers."	"Syn. Pl. 2: 478"	"1807"
"Asteraceae"	""	"Simsia foetida"	"(Cav.) S.F. Blake"	"Proc. Amer. Acad. Arts 49(6): 385"	"1914 [1913]"
"Asteraceae"	""	"Simsia ghiesbreghtii"	"(A. Gray) S.F. Blake"	"Proc. Amer. Acad. Arts 49(6): 392–393"	"1914 [1913]"
"Asteraceae"	""	"Simsia holwayi"	"S.F. Blake"	"Contr. Gray Herb. 52: 46–47"	"1917"
"Asteraceae"	"!"	"Simsia lagascaeformis"	"DC."	"Prodr. 5: 577"	"1836"
"Asteraceae"	""	"Simsia sanguinea"	"A. Gray"	"Smithsonian Contr. Knowl. 3(5): 107"	"1852"
"Asteraceae"	""	"Simsia steyermarkii"	"H. Rob. & Brettell"	"Phytologia 24(5): 375–376"	"1972"
"Asteraceae"	""	"Sinclairia"	"Hook. & Arn."	"Bot. Beechey Voy. (10): 433"	"1841"
"Asteraceae"	""	"Sinclairia deamii"	"(B.L. Rob. & Bartlett) Rydb."	"N. Amer. Fl. 34(4): 299"	"1927"
"Asteraceae"	""	"Sinclairia dimidia"	"(S.F. Blake) H. Rob. & Brettell"	"Phytologia 28(1): 61"	"1974"
"Asteraceae"	""	"Sinclairia discolor"	"Hook. & Arn."	"Bot. Beechey Voy. (10): 433"	"1841"
"Asteraceae"	""	"Sinclairia glabra"	"(Hemsl.) Rydb."	"N. Amer. Fl. 34(4): 297"	"1927"
"Asteraceae"	""	"Sinclairia hypochlora"	"(S.F. Blake) Rydb."	"N. Amer. Fl. 34(4): 301"	"1927"
"Asteraceae"	""	"Sinclairia polyantha"	"(Klatt) Rydb."	"N. Amer. Fl. 34(4): 299"	"1927"
"Asteraceae"	""	"Sinclairia sublobata"	"(B.L. Rob.) Rydb."	"N. Amer. Fl. 34(4): 297"	"1927"
"Asteraceae"	""	"Sinclairia tajumulcensis"	"(Standl. & Steyerm.) H. Rob. & Brettell"	"Phytologia 28(1): 62"	"1974"
"Asteraceae"	""	"Sinclairia vagans"	"(S.F. Blake) H. Rob. & Brettell"	"Phytologia 28(1): 62"	"1974"
"Gesneriaceae"	""	"Sinningia incarnata"	"(Aubl.) D.L. Denham"	"Baileya 19(3): 126"	"1974"
"Siparunaceae"	""	"Siparuna"	"Aubl."	"Hist. Pl. Guiane 2: 864–865, pl. 333"	"1775"
"Siparunaceae"	""	"Siparuna grandiflora"	"(Kunth) Perkins"	"Bot. Jahrb. Syst. 28(5): 685"	"1901"
"Siparunaceae"	""	"Siparuna thecaphora"	"(Poepp. & Endl.) A. DC."	"Prodr. 16(2): 657"	"1868"
"Iridaceae"	""	"Sisyrinchium chiricanum"	"Woodson"	"Ann. Missouri Bot. Gard. 32(1): 40"	"1945"
"Iridaceae"	""	"Sisyrinchium convolutum"	"Nocca"	"Ticin. Hort. Pl. pl. 1"	"1800"
"Iridaceae"	""	"Sisyrinchium dimorphum"	"R.L. Oliv."	"Ann. Missouri Bot. Gard. 55(3): 397"	"1968 [1969]"
"Iridaceae"	""	"Sisyrinchium exalatum"	"B.L. Rob. & Greenm."	"Amer. J. Sci., ser. 4 50: 166"	"1895"
"Iridaceae"	""	"Sisyrinchium johnstonii"	"Standl."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 17(3): 229"	"1937"
"Iridaceae"	""	"Sisyrinchium mandonii"	"Baker"	"J. Bot. 14: 269"	"1876"
"Iridaceae"	""	"Sisyrinchium micranthum"	"Cav."	"Diss. 6: 345, t. 191, f. 2"	"1788"
"Iridaceae"	""	"Sisyrinchium subalpinum"	"Henrich & Goldblatt"	"Ann. Missouri Bot. Gard. 74(4): 908, f. 3"	"1987"
"Iridaceae"	"!"	"Sisyrinchium tenuifolium"	"Humb. & Bonpl. ex Willd."	"Enum. Pl. 2: 691"	"1809"
"Iridaceae"	""	"Sisyrinchium tinctorium"	"Kunth"	"Nov. Gen. Sp. (quarto ed.) 1: 324"	"1815 [1816]"
"Elaeocarpaceae"	"!"	"Sloanea"	"L."	"Sp. Pl. 1: 512"	"1753"
"Elaeocarpaceae"	""	"Sloanea ampla"	"I.M. Johnst."	"J. Arnold Arbor. 19(2): 124"	"1938"
"Elaeocarpaceae"	""	"Sloanea cruenta"	"Lundell"	"Wrightia 5(5): 148–149"	"1975"
"Elaeocarpaceae"	""	"Sloanea guapilensis"	"Standl."	"J. Wash. Acad. Sci. 15(21): 478"	"1925"
"Elaeocarpaceae"	""	"Sloanea medusula"	"K. Schum. & Pittier"	"Repert. Spec. Nov. Regni Veg. 13: 312"	"1914"
"Elaeocarpaceae"	"!"	"Sloanea meianthera"	"Donn. Sm."	"Bot. Gaz. 37(3): 208"	"1904"
"Elaeocarpaceae"	""	"Sloanea petenensis"	"Standl. & Steyerm."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 23(4): 172"	"1944"
"Elaeocarpaceae"	""	"Sloanea schippii"	"Standl."	"Publ. Carnegie Inst. Wash. 461(4): 70–71"	"1935"
"Elaeocarpaceae"	""	"Sloanea terniflora"	"(DC.) Standl."	"Trop. Woods 79: 10"	"1944"
"Elaeocarpaceae"	"!"	"Sloanea tuerckheimii"	"Donn. Sm."	"Bot. Gaz. 57(5): 416"	"1914"
"Asteraceae"	"!"	"Smallanthus"	"Mack."	"Man. S.E. Fl. 1406, 1509"	"1933"
"Asteraceae"	""	"Smallanthus maculatus"	"(Cav.) H. Rob."	"Phytologia 39(1): 50"	"1978"
"Asteraceae"	""	"Smallanthus oaxacanus"	"(Sch. Bip. ex Klatt) H. Rob."	"Phytologia 39(1): 51"	"1978"
"Asteraceae"	""	"Smallanthus quichensis"	"(J.M. Coult.) H. Rob."	"Phytologia 39(1): 51"	"1978"
"Asteraceae"	""	"Smallanthus riparius"	"(Kunth) H. Rob."	"Phytologia 39(1): 51"	"1978"
"Asparagaceae"	""	"Smilacina"	"Desf."	"Ann. Mus. Natl. Hist. Nat. 9: 51"	"1807 [1807]"
