Family	!	Scientific Name	Author	Reference	Date
"Araliaceae"	""	"Dendropanax"	"Decne. & Planch."	"Rev. Hort. (Paris), sér. 4, 3(6): 107"	"1854"
"Araliaceae"	"!"	"Dendropanax arboreus"	"(L.) Decne. & Planch."	"Rev. Hort. (Paris), sér. 4, 3(6): 107"	"1854"
"Araliaceae"	""	"Dendropanax caucanus"	"(Harms) Harms"	"Notizbl. Bot. Gart. Berlin-Dahlem 15(5): 692"	"1942"
"Araliaceae"	""	"Dendropanax gonatopodus"	"(Donn. Sm.) A.C. Sm."	"Trop. Woods 66: 3"	"1941"
"Araliaceae"	""	"Dendropanax hondurensis"	"M.J. Cannon & Cannon"	"Bull. Brit. Mus. (Nat. Hist.), Bot. 19: 14, f. 6"	"1989"
"Araliaceae"	""	"Dendropanax leptopodus"	"(Donn. Sm.) A.C. Sm."	"Trop. Woods 66: 3"	"1941"
"Santalaceae"	""	"Dendrophthora costaricensis"	"Urb."	"Ber. Deutsch. Bot. Ges. 14(8): 285"	"1896"
"Orchidaceae"	""	"Dendrophylax porrectus"	"(Rchb. f.) Carlsward & Whitten"	"Int. J. Pl. Sci. 164(1): 51"	"2003"
"Dennstaedtiaceae"	"!"	"Dennstaedtia"	"Bernh."	"J. Bot. (Schrader) 1800(2): 124"	"1800 [1801]"
"Dennstaedtiaceae"	""	"Dennstaedtia bipinnata"	"(Cav.) Maxon"	"Proc. Biol. Soc. Washington 51(8): 39"	"1938"
"Dennstaedtiaceae"	""	"Dennstaedtia cicutaria"	"(Sw.) T. Moore"	"Index Fil. 97"	"1857"
"Dennstaedtiaceae"	""	"Dennstaedtia cornuta"	"(Kaulf.) Mett."	"Ann. Sci. Nat., Bot., sér. 5, 2: 260"	"1864"
"Dennstaedtiaceae"	""	"Dennstaedtia dissecta"	"(Sw.) T. Moore"	"Index Fil. 305"	"1861"
"Dennstaedtiaceae"	""	"Dennstaedtia distenta"	"(Kunze) T. Moore"	"Index Fil. 306"	"1861"
"Dennstaedtiaceae"	""	"Dennstaedtia globulifera"	"(Poir.) Hieron."	"Bot. Jahrb. Syst. 34: 455"	"1904"
"Dennstaedtiaceae"	""	"Dennstaedtia obtusifolia"	"(Willd.) T. Moore"	"Index Fil. 306"	"1861"
"Dennstaedtiaceae"	""	"Dennstaedtia spinosa"	"Mickel"	"Amer. Fern J. 58(1): 90"	"1968"
"Fabaceae"	"!!"	"Desmanthus"	"Willd."	"Sp. Pl. 4(2): 888, 1044–1049"	"1806"
"Fabaceae"	"!"	"Desmanthus virgatus"	"(L.) Willd."	"Sp. Pl. 4(2): 1047"	"1806"
"Fabaceae"	"!!"	"Desmodium"	"Desv."	"J. Bot. Agric. 1(3): 122, pl. 5, f. 15"	"1813"
"Fabaceae"	""	"Desmodium adscendens"	"(Sw.) DC."	"Prodr. 2: 332"	"1825"
"Fabaceae"	""	"Desmodium affine"	"Schltdl."	"Linnaea 12: 312–313"	"1838"
"Fabaceae"	""	"Desmodium angustifolium"	"(Kunth) DC."	"Prodr. 2: 328"	"1825"
"Fabaceae"	"!"	"Desmodium aparines"	"(Link) DC."	"Prodr. 2: 330"	"1825"
"Fabaceae"	"!"	"Desmodium barbatum"	"(L.) Benth."	"Pl. Jungh. 2: 224"	"1852"
"Fabaceae"	""	"Desmodium cajanifolium"	"(Kunth) DC."	"Prodr. 2: 331"	"1825"
"Fabaceae"	""	"Desmodium campyloclados"	"Hemsl."	"Biol. Cent.-Amer., Bot. 1(3): 276–277"	"1879"
"Fabaceae"	""	"Desmodium caripense"	"(Kunth) G. Don"	"Gen. Hist. 2: 292"	"1832"
"Fabaceae"	""	"Desmodium cinereum"	"(Kunth) DC."	"Prodr. 2: 330"	"1825"
"Fabaceae"	""	"Desmodium distortum"	"(Aubl.) J.F. Macbr."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 8(2): 101"	"1930"
"Fabaceae"	""	"Desmodium glabrum"	"(Mill.) DC."	"Prodr. 2: 338"	"1825"
"Fabaceae"	"!!"	"Desmodium incanum"	"(Sw.) DC."	"Prodr. 2: 332"	"1825"
"Fabaceae"	""	"Desmodium infractum"	"DC."	"Prodr. 2: 330"	"1825"
"Fabaceae"	"!"	"Desmodium intortum"	"(Mill.) Urb."	"Symb. Antill. 8(1): 292"	"1920"
"Fabaceae"	""	"Desmodium johnstonii"	"Standl. ex B.G. Schub."	"Contr. Gray Herb. 135: 95–97"	"1941"
"Fabaceae"	""	"Desmodium michelianum"	"(Schindl.) B.G. Schub. & McVaugh"	"Fl. Novo-Galiciana 5: 474"	"1987"
"Fabaceae"	""	"Desmodium molliculum"	"(Kunth) DC."	"Prodr. 2: 331"	"1825"
"Fabaceae"	""	"Desmodium neomexicanum"	"A. Gray"	"Smithsonian Contr. Knowl. 3(5): 53"	"1852"
"Fabaceae"	""	"Desmodium nicaraguense"	"Oerst."	"Vidensk. Meddel. Dansk Naturhist. Foren. Kjøbenhavn 1853(1–2): 16–17"	"1854"
"Fabaceae"	""	"Desmodium prehensile"	"Schltdl."	"Linnaea 12: 315–316"	"1838"
"Fabaceae"	""	"Desmodium procumbens"	"(Mill.) Hitchc."	"Rep. (Annual) Missouri Bot. Gard. 4: 76"	"1893"
"Fabaceae"	""	"Desmodium purpusii"	"Brandegee"	"Univ. Calif. Publ. Bot. 6(4): 53"	"1914"
"Fabaceae"	"!"	"Desmodium scorpiurus"	"(Sw.) Poir. in F. Cuvier"	"Dict. Sci. Nat. (ed. 2) 13: 110"	"1819"
"Fabaceae"	""	"Desmodium sericophyllum"	"Schltdl."	"Linnaea 12: 317–319"	"1838"
"Fabaceae"	"!"	"Desmodium strobilaceum"	"Schltdl."	"Linnaea 12: 316"	"1838"
"Fabaceae"	"!"	"Desmodium tortuosum"	"(Sw.) DC."	"Prodr. 2: 332"	"1825"
"Fabaceae"	"!"	"Desmodium triflorum"	"(L.) DC."	"Prodr. 2: 334"	"1825"
"Fabaceae"	""	"Desmodium uncinatum"	"(Jacq.) DC."	"Prodr. 2: 331"	"1825"
"Fabaceae"	""	"Desmodium wydlerianum"	"Urb."	"Symb. Antill. 2(2): 302"	"1900"
"Arecaceae"	"!!"	"Desmoncus"	"Mart."	"Palm. Fam. 20"	"1824"
"Arecaceae"	""	"Desmoncus chinantlensis"	"Liebm. ex Mart."	"Hist. Nat. Palm. 3(10): 321"	"1853"
"Arecaceae"	""	"Desmoncus moorei"	"A.J. Hend."	"Phytotaxa 35: 35, p. 72, pl. 17"	"2011"
"Arecaceae"	"!"	"Desmoncus orthacanthos"	"Mart."	"Hist. Nat. Palm. 2(3): 87, t. 69, 98"	"1824"
"Arecaceae"	""	"Desmoncus polyacanthos"	"Mart."	"Hist. Nat. Palm. 2(3): 85–86, t. 68"	"1824"
"Annonaceae"	""	"Desmopsis bibracteata"	"(B.L. Rob.) Saff."	"Bull. Torrey Bot. Club 43: 190, t. 9"	"1916"
"Annonaceae"	""	"Desmopsis microcarpa"	"R.E. Fr."	"Acta Horti Berg. 10(1): 23, f. 3c"	"1930"
"Annonaceae"	""	"Desmopsis schippii"	"Standl."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 11(4): 130–131"	"1932"
"Fabaceae"	"!"	"Dialium guianense"	"(Aubl.) Sandwith"	"Lloydia 2(3): 184"	"1939"
"Campanulaceae"	""	"Diastatea costaricensis"	"McVaugh"	"Bull. Torrey Bot. Club 67(9): 789–791"	"1940"
"Campanulaceae"	"!"	"Diastatea micrantha"	"(Kunth) McVaugh"	"Bull. Torrey Bot. Club 67(2): 143"	"1940"
"Gesneriaceae"	""	"Diastema"	"Benth."	"Bot. Voy. Sulphur 132"	"1844 [1845]"
"Gesneriaceae"	""	"Diastema affine"	"Fritsch"	"Bot. Jahrb. Syst. 50(4): 409–410"	"1914 [1913]"
"Orchidaceae"	""	"Dichaea"	"Lindl."	"Gen. Sp. Orchid. Pl. 208"	"1830-1840 [1833]"
"Orchidaceae"	""	"Dichaea cryptarrhena"	"Rchb. f. ex Kraenzl."	"Pflanzenr. IV. 50(Heft 83): 36"	"1923"
"Orchidaceae"	""	"Dichaea dammeriana"	"Kraenzl."	"Pflanzenr. IV. 50(Heft 83): 41"	"1923"
