Family	!	Scientific Name	Author	Reference	Date
"Poaceae"	""	"Zea"	"L."	"Sp. Pl. 2: 971"	"1753"
"Poaceae"	""	"Zea mays"	"L."	"Sp. Pl. 2: 971–972"	"1753"
"Gentianaceae"	""	"Zeltnera quitensis"	"(Kunth) G. Mans."	"Taxon 53(3): 735"	"2004"
"Amaryllidaceae"	""	"Zephyranthes lindleyana"	"Herb."	"Amaryllidaceae 174, t. 35, f. 5"	"1837"
"Asteraceae"	""	"Zexmenia"	"La Llave"	"Nov. Veg. Descr. 1: 13"	"1824"
"Asteraceae"	"!"	"Zexmenia serrata"	"La Llave"	"Nov. Veg. Descr. 1: 13"	"1824"
"Orchidaceae"	""	"Zhukowskia"	"Szlach., R. González & Rutk."	"Adansonia, sér. 3, 22(2): 236"	"2000"
"Orchidaceae"	""	"Zhukowskia richardiana"	"(Schltr.) Szlach., Mytnik & Rutk."	"Genus Suppl.: 59"	"2003"
"Asteraceae"	"!!"	"Zinnia"	"L."	"Syst. Nat. (ed. 10) 2: 1189, 1221, 1377"	"1759"
"Asteraceae"	"!!"	"Zinnia elegans"	"Jacq."	"Icon. Pl. Rar. 3(11): pl. 589"	"1786-1793 [1792]"
"Asteraceae"	"***"	"Zinnia violacea"	"Cav."	"Icon. 1(3): 57, pl. 81"	"1791"
"Celastraceae"	""	"Zinowiewia"	"Turcz."	"Bull. Soc. Imp. Naturalistes Moscou 32(1): 275–276"	"1859"
"Celastraceae"	""	"Zinowiewia pallida"	"Lundell"	"Bull. Torrey Bot. Club 65(7): 473, f. 3"	"1938"
"Rhamnaceae"	""	"Ziziphus cinnamomum"	"Triana & Planch."	"Ann. Sci. Nat., Bot., sér. 5, 16: 380"	"1872"
"Fabaceae"	""	"Zornia diphylla"	"(L.) Pers."	"Syn. Pl. 2(2): 318"	"1807"
"Fabaceae"	""	"Zornia reticulata"	"Sm."	"Cycl. 39(1): Zornia no. 2"	"1818"
"Fabaceae"	""	"Zornia thymifolia"	"Kunth"	"Nov. Gen. Sp. (quarto ed.) 6: 514–515"	"1823 [1824]"
"Salicaceae"	""	"Zuelania"	"A. Rich."	"Hist. Phys. Cuba, Pl. Vasc. 10: 33"	"1845"
"Salicaceae"	""	"Zuelania guidonia"	"(Sw.) Britton & Millsp."	"Bahama Fl. 285"	"1920"
