Family	!	Scientific Name	Author	Reference	Date
"Acanthaceae"	""	"Chamaeranthemum tonduzii"	"Lindau"	"Anales Inst. Fís.-Geogr. Mus. Nac. Costa Rica 9: 184"	"1896 [1898]"
"Myrtaceae"	""	"Chamguava"	"Landrum"	"Syst. Bot. 16(1): 21–22"	"1991"
"Myrtaceae"	""	"Chamguava schippii"	"(Standl.) Landrum"	"Syst. Bot. 16(1): 27–28, f. 1C, H–K"	"1991"
"Amaranthaceae"	"!!"	"Chamissoa"	"Kunth"	"Nov. Gen. Sp. (folio ed.) 2: 196"	"1817"
"Amaranthaceae"	""	"Chamissoa acuminata"	"Mart."	"Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur. 13: 286–287"	"1826"
"Amaranthaceae"	"!"	"Chamissoa altissima"	"(Jacq.) Kunth"	"Nov. Gen. Sp. (quarto ed.) 2(7): 197, t. 125"	"1817 [1818]"
"Asteraceae"	"!!"	"Chaptalia"	"Vent."	"Descr. Pl. Nouv. sub t. 61"	"1802"
"Asteraceae"	"!"	"Chaptalia nutans"	"(L.) Pol."	"Linnaea 41: 582"	"1877 [1878]"
"Asteraceae"	""	"Chaptalia runcinata"	"Kunth"	"Nov. Gen. Sp. (folio ed.) 4: 5, t. 303"	"1820 [1818]"
"Orchidaceae"	""	"Chaubardiella"	"Garay"	"Orquideología 4(3): 146–147"	"1969"
"Orchidaceae"	""	"Chaubardiella pacuarensis"	"Jenny"	"Orchidee (Hamburg) 40(3): 91–92, f., photo"	"1989"
"Orchidaceae"	""	"Chaubardiella subquadrata"	"(Schltr.) Garay"	"Orquideología 4(3): 149"	"1969"
"Pteridaceae"	"!!"	"Cheilanthes"	"Sw."	"Syn. Fil. 5, 126"	"1806"
"Pteridaceae"	"!"	"Cheilanthes hirsuta"	"Link"	"Hort. Berol. 2: 40"	"1833"
"Pteridaceae"	"!"	"Cheilanthes skinneri"	"(Hook.) T. Moore"	"Index Fil. 253"	"1861"
"Celastraceae"	""	"Cheiloclinium"	"Miers"	"Trans. Linn. Soc. London 28(2): 331, 420"	"1872"
"Celastraceae"	""	"Cheiloclinium anomalum"	"Miers"	"Trans. Linn. Soc. London 28(2): 420–421"	"1872"
"Celastraceae"	""	"Cheiloclinium belizense"	"(Standl.) A.C. Sm."	"Brittonia 3(3): 540"	"1940"
"Celastraceae"	""	"Cheiloclinium cognatum"	"(Miers) A.C. Sm."	"Brittonia 3(3): 529"	"1940"
"Celastraceae"	""	"Cheiloclinium hippocrateoides"	"(Peyr.) A.C. Sm."	"Brittonia 3(3): 546–548"	"1940"
"Celastraceae"	""	"Cheiloclinium klugii"	"A.C. Sm."	"Brittonia 3(3): 543"	"1940"
"Celastraceae"	""	"Cheiloclinium obtusum"	"A.C. Sm."	"Brittonia 3(3): 545–546"	"1940"
"Celastraceae"	""	"Cheiloclinium serratum"	"(Cambess.) A.C. Sm."	"Brittonia 3(3): 535–537"	"1940"
"Ophioglossaceae"	"!"	"Cheiroglossa"	"C. Presl"	"Suppl. Tent. Pterid. 56"	"1845"
"Ophioglossaceae"	""	"Cheiroglossa palmata"	"(L.) C. Presl"	"Suppl. Tent. Pterid. 57"	"1845"
"Gentianaceae"	""	"Chelonanthus"	"(Griseb.) Gilg"	"Nat. Pflanzenfam. IV(2): 98"	"1895"
"Gentianaceae"	""	"Chelonanthus acutangulus"	"(Ruiz & Pav.) Gilg"	"Nat. Pflanzenfam. 4(2): 98"	"1895"
"Arecaceae"	""	"Chelyocarpus"	"Dammer"	"Notizbl. Bot. Gart. Berlin-Dahlem 7: 51[395]"	"1920"
"Orchidaceae"	""	"Chelyorchis"	"Dressler & N.H. Williams"	"Orchids Venez. (ed. 2) 1130"	"2000"
"Amaranthaceae"	""	"Chenopodium album"	"L."	"Sp. Pl. 1: 219"	"1753"
"Amaranthaceae"	""	"Chenopodium ambrosioides"	"L."	"Sp. Pl. 1: 219–220"	"1753"
"Amaranthaceae"	""	"Chenopodium pratericola"	"Rydb."	"Bull. Torrey Bot. Club 39(7): 310–311"	"1912"
"Loasaceae"	""	"Chichicaste grandis"	"(Standl.) Weigend"	"Taxon 55(2): 465"	"2006"
"Ericaceae"	""	"Chimaphila"	"Pursh"	"Fl. Amer. Sept. 1: 279–280, 300"	"1814 [1813]"
"Ericaceae"	""	"Chimaphila maculata"	"(L.) Pursh"	"Fl. Amer. Sept. 1: 300"	"1814 [1813]"
"Rubiaceae"	"!"	"Chimarrhis"	"Jacq."	"Select. Stirp. Amer. Hist. 61"	"1763"
"Rubiaceae"	""	"Chimarrhis latifolia"	"Standl."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 4(8): 265"	"1929"
"Rubiaceae"	""	"Chimarrhis parviflora"	"Standl."	"Trop. Woods 11(11): 26"	"1927"
"Rubiaceae"	""	"Chiococca"	"P. Browne"	"Civ. Nat. Hist. Jamaica 164"	"1756"
"Rubiaceae"	""	"Chiococca alba"	"(L.) Hitchc."	"Rep. (Annual) Missouri Bot. Gard. 4: 94"	"1893"
"Rubiaceae"	""	"Chiococca belizensis"	"Lundell"	"Amer. Midl. Naturalist 29(2): 492"	"1943"
"Rubiaceae"	""	"Chiococca caputensis"	"Lorence & C.M. Taylor"	"Novon 5(2): 201, f. 1B–C"	"1995"
"Rubiaceae"	""	"Chiococca pachyphylla"	"Wernham"	"J. Bot. 51(611): 323"	"1913"
"Rubiaceae"	""	"Chiococca phaenostemon"	"Schltdl."	"Linnaea 9: 594–595"	"1835"
"Oleaceae"	""	"Chionanthus domingensis"	"Lam."	"Tabl. Encycl. 1: 30"	"1791"
"Oleaceae"	""	"Chionanthus panamensis"	"(Standl.) Stearn"	"Ann. Missouri Bot. Gard. 63(2): 356"	"1976 [1977]"
"Rubiaceae"	"!"	"Chione"	"DC."	"Prodr. 4: 461"	"1830"
"Rubiaceae"	""	"Chione venosa"	"(Sw.) Urb."	"Symb. Antill. 4(4): 594–595"	"1903-1911 [1911]"
"Asteraceae"	""	"Chionolaena"	"DC."	"Prodr. 5: 397"	"1836"
"Asteraceae"	""	"Chionolaena costaricensis"	"(G.L. Nesom) G.L. Nesom"	"Sida 19(4): 850"	"2001"
"Asteraceae"	"!"	"Chionolaena lavandulifolia"	"(Kunth) Benth. & Hook. f. ex B.D. Jacks."	"Index Kew. 1(1): 516"	"1893"
"Asteraceae"	""	"Chionolaena salicifolia"	"(Bertol.) G.L. Nesom"	"Sida 19(4): 850"	"2001"
"Gesneriaceae"	""	"Chirita lilacina"	"Lem."	"Ill. Hort. 16: t. 608"	"1869"
"Asteraceae"	""	"Chloracantha"	"G.L. Nesom, Y.B. Suh, D.R. Morgan, S.D. Sundb. & B.B. Simpson"	"Phytologia 70(5): 378"	"1991"
"Asteraceae"	""	"Chloracantha spinosa"	"(Benth.) G.L. Nesom"	"Phytologia 70(5): 378"	"1991"
"Asteraceae"	""	"Chloracantha spinosa var. strictospinosa"	"S.D. Sundb."	"Phytologia 70(5): 389"	"1991"
"Poaceae"	""	"Chloris"	"Sw."	"Prodr. 1, 25"	"1788"
"Poaceae"	"!"	"Chloris barbata"	"Sw."	"Fl. Ind. Occid. 1: 200"	"1797"
"Poaceae"	"!"	"Chloris inflata"	"Link"	"Enum. Pl. Hort. Berol. Alt. 1: 105"	"1821"
"Poaceae"	"!"	"Chloris radiata"	"(L.) Sw."	"Prodr. 26"	"1788"
"Poaceae"	"!"	"Chloris virgata"	"Sw."	"Fl. Ind. Occid. 1: 203"	"1797"
"Fabaceae"	""	"Chloroleucon mangense"	"(Jacq.) Britton & Rose"	"N. Amer. Fl. 23(1): 38"	"1928"
"Araceae"	""	"Chlorospatha"	"Engl."	"Gartenflora 27: 97, t. 933"	"1878"
"Araceae"	""	"Chlorospatha croatiana"	"Grayum"	"Ann. Missouri Bot. Gard. 73(2): 464–465"	"1986"
"Araceae"	""	"Chlorospatha hammeliana"	"Grayum & Croat"	"Ann. Missouri Bot. Gard. 73(2): 466"	"1986"
"Araceae"	""	"Chlorospatha mirabilis"	"(Mast.) Madison"	"Selbyana 5(3–4): 351"	"1981"
"Rubiaceae"	"!!"	"Chomelia"	"Jacq."	"Enum. Syst. Pl. 1, 12"	"1760"
"Rubiaceae"	""	"Chomelia barbellata"	"Standl."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 13(6): 120"	"1936"
"Rubiaceae"	""	"Chomelia grandicarpa"	"Dwyer"	"Ann. Missouri Bot. Gard. 67(1): 97–98"	"1980"
"Rubiaceae"	""	"Chomelia microloba"	"Donn. Sm."	"Bot. Gaz. 31(2): 114"	"1901"
"Rubiaceae"	""	"Chomelia panamensis"	"(Standl.) Dwyer"	"Ann. Missouri Bot. Gard. 67(1): 100"	"1980"
"Rubiaceae"	""	"Chomelia polyantha"	"S.F. Blake"	"Contr. U.S. Natl. Herb. 20: 532"	"1924"
"Rubiaceae"	""	"Chomelia psilocarpa"	"Dwyer & M.V. Hayden"	"Ann. Missouri Bot. Gard. 54(2): 139"	"1967"
"Rubiaceae"	""	"Chomelia recordii"	"Standl."	"Trop. Woods 7: 9"	"1926"
"Rubiaceae"	""	"Chomelia rubra"	"Lorence & C.M. Taylor"	"Novon 11(1): 124–126, f. 1"	"2001"
