Family	!	Scientific Name	Author	Reference	Date
"Sapindaceae"	""	"Acer negundo var. interius"	"(Britton) Sarg."	""	""
"Sapindaceae"	""	"Acer nigrum"	"F. Michx."	"Hist. Arbr. Forest. 2: 238–241, pl. 16"	"1812"
"Sapindaceae"	""	"Acer pensylvanicum"	"L."	"Sp. Pl. 2: 1055"	"1753"
"Sapindaceae"	""	"Acer platanoides"	"L."	"Sp. Pl. 2: 1055"	"1753"
"Sapindaceae"	""	"Acer pseudoplatanus"	"L."	"Sp. Pl. 2: 1054"	"1753"
"Sapindaceae"	""	"Acer rubrum"	"L."	"Sp. Pl. 2: 1055"	"1753"
"Sapindaceae"	""	"Acer rubrum fo. rubrum"	""	""	""
"Sapindaceae"	""	"Acer rubrum var. rubrum"	""	""	""
"Sapindaceae"	""	"Acer rubrum var. trilobum"	"Torr. & A. Gray ex K. Koch"	"Hort. Dendrol. 80"	"1853"
"Sapindaceae"	""	"Acer saccharinum"	"L."	"Sp. Pl. 2: 1055"	"1753"
"Sapindaceae"	""	"Acer saccharophorum fo. angustilobatum"	"Victorin & Rousseau"	"Contr. Inst. Bot. Univ. Montreal 36: 34"	"1940"
"Sapindaceae"	""	"Acer saccharum"	"Marshall"	"Arbust. Amer. 4"	"1785"
"Sapindaceae"	""	"Acer saccharum fo. saccharum"	""	""	""
"Sapindaceae"	""	"Acer saccharum var. saccharum"	""	""	""
"Sapindaceae"	""	"Acer spicatum"	"Lam."	"Encycl. 2(1): 381"	"1786"
"Apocynaceae"	"!"	"Acerates viridiflora"	"(Raf.) Eaton"	"Man. Bot. (ed. 5) 90"	"1829"
"Polygonaceae"	"*"	"Acetosella acetosella"	"(L.) Small"	"Man. S.E. Fl. 446"	"1933"
"Polygonaceae"	""	"Acetosella vulgaris"	"(W.D.J. Koch) Fourr."	"Ann. Soc. Linn. Lyon, sér. 2 17: 145"	"1869"
"Asteraceae"	""	"Achillea"	"L."	"Sp. Pl. 2: 896"	"1753"
"Asteraceae"	""	"Achillea aspleniifolia"	"Vent."	"Descr. Pl. Nouv. pl. 95"	"1803"
"Asteraceae"	""	"Achillea borealis"	"Bong."	"Mém. Acad. Imp. Sci. St.-Pétersbourg, Sér. 6, Sci. Math. 2(2): 149"	"1832"
"Asteraceae"	""	"Achillea lanulosa"	"Nutt."	"J. Acad. Nat. Sci. Philadelphia 7(1): 36"	"1834"
"Asteraceae"	"!"	"Achillea millefolium"	"L."	"Sp. Pl. 2: 899"	"1753"
"Asteraceae"	""	"Achillea millefolium var. parvula"	"B. Boivin"	"Canad. Field-Naturalist 65(1): 11"	"1951"
"Asteraceae"	""	"Achillea ptarmica"	"L."	"Sp. Pl. 2: 898"	"1753"
"Asteraceae"	""	"Achillea sibirica"	"Ledeb."	"Ind. Sen. Hort. Dorpat."	"1811"
"Berberidaceae"	""	"Achlys californica"	"I. Fukuda & H.G. Baker"	"Taxon 19: 341–344, t. 2"	"1970"
"Berberidaceae"	""	"Achlys triphylla"	"(Sm.) DC."	"Syst. Nat. 2: 35"	"1821"
"Berberidaceae"	""	"Achlys triphylla subsp. triphylla"	""	""	""
"Poaceae"	""	"Achnatherum"	"P. Beauv."	"Ess. Agrostogr. 19, 146, pl. 6, f. 7"	"1812"
"Poaceae"	""	"Achnatherum aridum"	"(M.E. Jones) Barkworth"	"Phytologia 74(1): 6"	"1993"
"Poaceae"	""	"Achnatherum × bloomeri"	"(Bol.) Barkworth"	"Phytologia 74(1): 14"	"1993"
"Poaceae"	""	"Achnatherum hymenoides"	"(Roem. & Schult.) Barkworth"	"Phytologia 74(1): 7–8"	"1993"
"Poaceae"	""	"Achnatherum lemmonii"	"(Vasey) Barkworth"	"Phytologia 74(1): 8"	"1993"
"Poaceae"	""	"Achnatherum lemmonii subsp. lemmonii"	""	""	""
"Poaceae"	""	"Achnatherum nelsonii"	"(Scribn.) Barkworth"	"Phytologia 74(1): 9"	"1993"
"Poaceae"	""	"Achnatherum nelsonii subsp. dorei"	"(Barkworth & J. Maze) Barkworth"	"Phytologia 74(1): 9"	"1993"
"Poaceae"	""	"Achnatherum occidentale"	"(Thurb. ex S. Watson) Barkworth"	"Phytologia 74(1): 10"	"1993"
"Poaceae"	""	"Achnatherum occidentale subsp. occidentale"	""	""	""
"Poaceae"	""	"Achnatherum occidentale subsp. pubescens"	"(Vasey) Barkworth"	"Phytologia 74(1): 10"	"1993"
"Poaceae"	""	"Achnatherum richardsonii"	"(Link) Barkworth"	"Phytologia 74(1): 12"	"1993"
"Amaranthaceae"	"**"	"Acnida altissima"	"Riddell ex Moq."	"Prodr. 13(2): 278"	""
"Amaranthaceae"	""	"Acnida altissima var. altissima"	""	""	""
"Amaranthaceae"	""	"Acnida altissima var. prostrata"	"(Uline & W.L. Bray) Fernald"	"Rhodora 43(510): 288"	"1941"
"Amaranthaceae"	""	"Acnida altissima var. subnuda"	"(S. Watson) Fernald"	"Rhodora 43(510): 288"	"1941"
"Amaranthaceae"	""	"Acnida cuspidata"	"Bertero ex Spreng."	"Syst. Veg. [Sprengel] 3: 903"	"1826"
"Amaranthaceae"	""	"Acnida subnuda"	"(S. Watson) Standl."	"N. Amer. Fl. 21(2): 122"	"1917"
"Ranunculaceae"	""	"Aconitum columbianum"	"Nutt."	"Fl. N. Amer. 1(1): 34"	"1838"
"Ranunculaceae"	""	"Aconitum columbianum var. columbianum"	""	""	""
"Ranunculaceae"	""	"Aconitum delphiniifolium"	"DC."	"Syst. Nat. 1: 380"	"1818 [1817]"
"Ranunculaceae"	""	"Aconitum napellus"	"L."	"Sp. Pl. 1: 532"	"1753"
"Acoraceae"	""	"Acorus americanus"	"(Raf.) Raf."	"New Fl. 1: 57"	"1836"
"Acoraceae"	"!"	"Acorus calamus"	"L."	"Sp. Pl. 1: 324"	"1753"
"Ranunculaceae"	""	"Actaea alba"	"(L.) Mill."	"Gard. Dict. (ed. 8) no. 2"	"1768"
"Ranunculaceae"	""	"Actaea arguta"	"Nutt."	"Fl. N. Amer. 1(1): 35"	"1838"
"Ranunculaceae"	""	"Actaea pachypoda"	"Elliott"	"Sketch Bot. S. Carolina 2: 15"	"1824 [1821]"
"Ranunculaceae"	""	"Actaea pachypoda fo. pachypoda"	""	""	""
"Ranunculaceae"	""	"Actaea rubra"	"(Aiton) Willd."	"Enum. Pl. 1: 561"	"1809"
"Ranunculaceae"	""	"Actaea rubra fo. neglecta"	"(Gillman) B.L. Rob."	"Rhodora 10(112): 66"	"1908"
"Ranunculaceae"	""	"Actaea rubra fo. rubra"	""	""	""
"Ranunculaceae"	""	"Actaea spicata"	"L."	"Sp. Pl. 1: 504"	"1753"
"Asteraceae"	""	"Actinea herbacea"	"(Greene) B.L. Rob."	"Rhodora 10(112): 68"	"1908"
"Asteraceae"	""	"Actinomeris alternifolia"	"(L.) DC."	"Prodr. 5: 575"	"1836"
