Family	!	Scientific Name	Author	Reference	Date
"Piperaceae"	""	"Piper stenocladum"	"C. DC."	"Anales Inst. Fís.-Geogr. Mus. Nac. Costa Rica 9: 162"	"1896 [1898]"
"Piperaceae"	""	"Piper subasperatum"	"Trel."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 18(1): 362"	"1937"
"Piperaceae"	""	"Piper subaspericaule"	"C. DC."	"Anales Inst. Fís.-Geogr. Mus. Nac. Costa Rica 9: 162"	"1896 [1898]"
"Piperaceae"	""	"Piper subdivaricatum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 163"	"1929"
"Piperaceae"	""	"Piper suberythrocarpum"	"C. DC."	"Anales Inst. Fís.-Geogr. Mus. Nac. Costa Rica 9: 160"	"1896 [1898]"
"Piperaceae"	""	"Piper subexiguicaule"	"Callejas"	"Fl. Mesoamer. 2(2): 488, 406, t. 66"	"2020"
"Piperaceae"	""	"Piper subfuscum"	"C. DC."	"J. Bot. 4: 217–218"	"1866"
"Piperaceae"	""	"Piper subgibbosum"	"Callejas"	"Fl. Mesoamer. 2(2): 488, 407"	"2020"
"Piperaceae"	""	"Piper subhirsutum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 179"	"1929"
"Piperaceae"	""	"Piper sublaevifolium"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 147"	"1929"
"Piperaceae"	""	"Piper sublineatum"	"Kuntze"	"Revis. Gen. Pl. 2: 565"	"1891"
"Piperaceae"	""	"Piper submolle"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 178"	"1929"
"Piperaceae"	""	"Piper subquadratum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 174"	"1929"
"Piperaceae"	""	"Piper subquinquenerve"	"Trel."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 18(1): 363–364"	"1937"
"Piperaceae"	""	"Piper subsericeum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 141"	"1929"
"Piperaceae"	""	"Piper subsessilifolium"	"C. DC."	"Bull. Soc. Roy. Bot. Belgique 30(1): 216–217"	"1891 [1892]"
"Piperaceae"	""	"Piper subvariabile"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 145"	"1929"
"Piperaceae"	""	"Piper subzhorquinense"	"C. DC. ex Trel."	"Contr. U.S. Natl. Herb. 26(4): 142"	"1929"
"Piperaceae"	""	"Piper sulcinervosum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 159"	"1929"
"Piperaceae"	""	"Piper surubresanum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 148"	"1929"
"Piperaceae"	""	"Piper tabanicidum"	"Trel."	"Contr. U.S. Natl. Herb. 26(4): 162"	"1929"
"Piperaceae"	""	"Piper taboganum"	"C. DC."	"Smithsonian Misc. Collect. 71(6): 4"	"1920"
"Piperaceae"	""	"Piper tapantiense"	"Trel."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 18(4): 1547"	"1938"
"Piperaceae"	""	"Piper tapianum"	"Trel."	"Contr. U.S. Natl. Herb. 26(2): 30"	"1927"
